text,hate_label,source,profanity_score,language,dataset_version,combined_date,text_length,word_count
if i had pizza in me all day i had been this too,0,english_dataset,0,english,v1.0,2025-09-11,48,13
regarding the suitability of the for different targets as noted when someone did undo my edit that removed the statement about the being just too large and too expensive for most targets this statement in the text what a slut supposed to be referring to land targets however the meaning of the text as it stands now and as it stood before my edit gives the impression that the is unsuitable for the majority of all targets naval targets included so unless someone provides a credible source that the is too large and expensive for all types of targets the text has to be changed from it is current form since it is highly misleading i m going to revert the last undo and address information to the text that the is just too large and too expensive for most types of land targets this is i accept as highly plausible and i am happy to see it included in the text on the other hand someone could make the case that it probably should be included that the polymer is too small for many targets but i do not care that much so let us leave that out i hope this is satisfactory to everyone,0,english_dataset,0,english,v1.0,2025-09-11,1083,206
hello kept thanks for the notification i believe however that this article fulfills the criteria for inclusion on wikipedia you are free to google search on the name of this notable personality who is a source of inspiration to many downtrodden young africans an extraordinary figure in the democratization of the continent and a major player in the worldwide democratization movement of the late s whatever have seen many stories about figures in the democratization struggle of eastern europe which are not as compelling as this celebrated in the global media whatever read of the heroes of tiananmen this is one of the heroes of the nigerian struggles that claimed more victims that tiananmen and what a slut languishing in jail at that same period a second review will be much appreciated i left you a message over requesting a proofreading to be sure it s okay to go life but did not get a response,0,english_dataset,0,english,v1.0,2025-09-11,903,156
"जिसको निजीकरण पसन्द है 
वो अपनी नोकरी छोड़ कर  ₹ में प्राइवेट बसों में एक महीना टिकेट काटे ।
फिर लिखे निजीकरण क्या है",0,hindi_dataset,0,hindi,v1.0,2025-09-11,117,24
to be honest i am really not in the mood to argue with anyone over the ethnic population of heart or any other city of afghanistan if you guys want to address that the entire afghanistan s population is talks you go ahead and write this everywhere you also state that kandahar is talks like if this going to change anything i know the fact that usertajik is qizibash or whatever you spell it and this group of people are the least in afghanistan i do not even think they make of afghanistan s population it is not my duty to come up with the exact number of ethnic people living in each city as an afghan and a proud pashtun i explain to westerners that since majority of the people speaking dark farsi heart persian or whatever you call that language this does not mean all of those are ethnic talks the best example is united states of america again the majority of people in united states of america speak english but that does not mean they are ethnic english people you have people from every ethnic of the world living in united states of america and all speaking english this is the case in afghanistan finally when emperor bar stated in his ad memoirs about calling talks parts perhaps he meant to call them rats usernisarkand,0,english_dataset,0,english,v1.0,2025-09-11,1234,228
कहासुनी रिया चक्रवर्ती के वकील ने कहा है कि वो गिरफ़्तारी के लिए तैयार हैं क्योंकि उनके ख़िलाफ़ फ़र्ज़ी अभियान चलाकर उन्हें बेवजह निशाना बनाया जा रहा है आप इस बारे में क्या सोचते हैं ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,183,35
"क्या केबीसी में सब कुछ पहले से तय होता है एक्सपर्ट्स और अमिताभ को जबाव पहले से पता होते हैं विनिंग अमाउंट पूरा मिल जाता है या उस पर टैक्स देना होता है शो के लिए बिग बी कितना पैसा लेते हैं 
   
",0,hindi_dataset,0,hindi,v1.0,2025-09-11,193,42
हीरा मंडी की पैदाइश शफाकत खान  बकरी चोद कौ अपनी बहनों को चोद के गर्भवती कर देते हैं पाकिस्तानियों ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,98,19
i hate bgt,0,english_dataset,0,english,v1.0,2025-09-11,10,3
Are Maine toh isko video bhi bhji hai. Baluch girl ki jisme unki police rape krr rahe hai. Woh bhi youtube se le kar.,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,117,24
और पिछवाड़े में दर्द कांग्रेस को भी कुर्सी का है देश का नाश कर दिया,0,hindi_dataset,0,hindi,v1.0,2025-09-11,67,15
"ब्रेकिंग न्यूज़ बिहार
बिहार के स्मार्ट सिटी पटना में बीजेपी विधायक के लात जूता के मशीन में जमकर जनता के द्वारा हुई कुटाई रोड नहीं त वोट नहीं को लेकर हुई थी विवाद नेताजी के गलत शब्दों के कारण हो गई कुटाई",0,hindi_dataset,0,hindi,v1.0,2025-09-11,202,42
if he is a true socialist marxist then yes he would be an atheist per pure marxist communist doctrine believing religion to be opiate of the and counterproductive to the class struggle however it is not confirmed that he is an atheist so whatever better not start speculating even though there is a good chance that he is since he is a socialist it is important to note that his heritage is jewish though this is more about ethnicity than religion however he is a jew but does not follow judaism the traditional religion of the jews,0,english_dataset,0,english,v1.0,2025-09-11,532,97
कोरोना जांच का सरताज बना उत्तर प्रदेश। डब्ल्यूएचओ मानक के मुताबिक प्रदेश की  करोड़ जनसंख्या में  हजार टेस्ट रोज होने चाहिए जबकि यहां डेढ़ लाख टेस्ट प्रतिदिन हो रहे हैं। ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,169,30
ये समलैंगिक सबसे खसूड होते हैं,0,hindi_dataset,0,hindi,v1.0,2025-09-11,30,6
"  टूर्नामेंट से पहले खेला जा सकता है वॉर्मअप मैच

",0,hindi_dataset,0,hindi,v1.0,2025-09-11,50,9
what there should be a single article titled list of the tallest buildings in manila whatever do not need this level of specificity,0,english_dataset,0,english,v1.0,2025-09-11,131,23
अगर ये किसी मुसलमान के दिमाग से आया है फिर तो टट्टी ही होगा,0,hindi_dataset,0,hindi,v1.0,2025-09-11,59,14
if you have a bad day just make a selfie and you know how ugly it looks bad bad day a,0,english_dataset,0,english,v1.0,2025-09-11,85,21
"pestol dekhaaer rape garn bhaneko jasto pic chh yo ta , haitt !",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,63,13
i love iphones especially when they are launched,0,english_dataset,0,english,v1.0,2025-09-11,48,8
बिल्कुल सही ये कटवा लोग जहां रहते हैं वहां गले लगाते हैं साला लोग देश का सत्यानाश करके रखा है सबको पाकिस्तान मार के भगाओ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,120,25
just booked restaurant gordon ramsey for my birthday in bihdaycelebration,0,english_dataset,0,english,v1.0,2025-09-11,73,10
बीबी फ़ैक्ट चेक पड़ताल में पाया है कि कैलाश पर्वत की बताई जा रही तस्वीरें पूरी तरह फ़र्ज़ी हैं भारतीय सैनिकों ने कैलाश पर्वत पर कोई क़ब्ज़ा नहीं किया है रिटायर्ड मेजर जनरल नरभक्षी ने झूठ को फैलाने में बीजेपी आईटी सेल की सहयोग की हिजड़े हैं मक्खी नहीं मारेंगे शेर बता देंगे,0,hindi_dataset,0,hindi,v1.0,2025-09-11,272,53
you really have not bothered look at this properly have you i what a slut tidying up my talk page i what a slut not foul language at other and you have absolutely no reason to believe s extremely likely you will do it again if unblocked can you point to any incivility from me off my own talk page which is the only one you have left me access to,0,english_dataset,0,english,v1.0,2025-09-11,346,71
तारा माँ सा करने है क्या बात चीत साला कांग्रेस वाला,0,hindi_dataset,0,hindi,v1.0,2025-09-11,51,11
speedy deletion of non californian safety administration thank you for experimenting with wikipedia your test worked and the page that you created has been or soon will be deleted please use the sandbox for any other tests you want to do take a look at the welcome page if you would like to learn more about contributing to our encyclopedia if you think that this notice what a slut placed here in error you contest the deletion by adding to the top of the page just below the existing speedy deletion or db tag coupled with adding a note on the article s talk page explaining your position but be aware that once tagged for speedy deletion if the article meets the criterion it be deleted without delay please do not remove the speedy deletion tag yourself but do not hesitate to address information to the article that would render it more in conformance with wikipedia s policies and guidelines,0,english_dataset,0,english,v1.0,2025-09-11,897,160
ahh did not notice that it what a slut after the next sentence i will try to have a look later but my initial thought what a slut that it what a slut unsourced,0,english_dataset,0,english,v1.0,2025-09-11,159,34
हिन्दू एक वाइरसहोते हैं,0,hindi_dataset,0,hindi,v1.0,2025-09-11,23,4
and they are conflicting so what use are they other than in the context of uncertainty which is very well expressed by the original source,0,english_dataset,0,english,v1.0,2025-09-11,138,25
i remember you my sister told me what you did to her you are lucky she did not call the police,0,english_dataset,0,english,v1.0,2025-09-11,94,21
tuesdaymotivation the truth about being or back success a a a a a a a a a a a a a a a a a a a a a a,0,english_dataset,0,english,v1.0,2025-09-11,99,30
"दिग्गज  जोकोविच क्यों हुए डिफॉल्ट जानिए क्या कहते हैं नियम



  ",0,hindi_dataset,0,hindi,v1.0,2025-09-11,64,10
"राष्ट्रीय संयोजक  जी के आव्हान पर सिंगरौली के ग्रामीण क्षेत्रों में मास्क वितरण कर ग्रामवासियों का ऑक्सीजन चेक किया गया।
    ",0,hindi_dataset,0,hindi,v1.0,2025-09-11,125,20
so no magdalene sisters thank you for the clarification you might want to remove agnes of god from this list if i recall it correctly,0,english_dataset,0,english,v1.0,2025-09-11,133,25
" कांग्रेस वह छछूंदर है जो किसी भी राजनीति पार्टी को छु दे तो वो पार्टी रोड़ पर आ जाती है 

जैसे सपाबसपाआरजेडी अब लगता हैशिवसेना की बारी है",0,hindi_dataset,0,hindi,v1.0,2025-09-11,138,28
मई वेटर को बेहत तुच्छ समझता हूँ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,31,7
मेरे दिल मई तुम्हारे लिए बिलकुल व् प्रेम नहीं है,0,hindi_dataset,0,hindi,v1.0,2025-09-11,48,10
Uska land juhsleh sala suwar ka awlaad.. yeh harami logoh neh tera maa behen ko chodaa taa.. tum sab ko yeh goreh log rape kiya taa.. salaaa,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,140,27
"अब पाकिस्तान से भारत डर रहा है  से ही जोर के देखिये हमारे कितने हमारे जवान भाई मारेगे अब भारत भी सिर्फ बोलता है कुछ नहीं
पहले हमारे सेना सेना के बराबर मन जाता था हमारा अब ",0,hindi_dataset,0,hindi,v1.0,2025-09-11,171,37
initial complaint copied from my talk page has been ordered to not antagonize me in any manner whatsoever but is now utilizing a picture taken of me at the age of five months on his user page claiming that it is a picture of his the image in question appears in this article from my personal website written over three years ago and i have taken pictures of the original photograph in my possession front back this behavior from this user has progressed far beyond simple aggression into blatant harassment linden arden s talk page the photo link shown on linden arden s talk page the direct link to the photo as on linden arden s talk page,0,english_dataset,0,english,v1.0,2025-09-11,640,118
वो बांग्लादेशी नहीं बदलेंगे उन्हें यहाँ से मिटा दो,0,hindi_dataset,0,hindi,v1.0,2025-09-11,50,9
your young age i have figured out what makes you so in that donkey punch article it is your age you are a minor a child in other words you are under one or both ages of majority in the united states or i suspect you are a high school student under earlier you claimed to be andrew miller a student living in printer s row chicago most university students advertise their university affiliations you didn t makes me think you are a child so just how young are you people should know whom their dealing with so they do not get in trouble for using profanity to a child or insulting a child or saying negative things to a child or whatever is illegal with children nowadays it is problematic to deal with children on the internet and you should put up an user box indicating your age to avoid those problems,0,english_dataset,0,english,v1.0,2025-09-11,804,153
chacha ap start karte hai phele terrorism ki nath ham ne ki thi ? Or jo kashmir me terrorism phla k rkhi hui ha Wo bhi batao zara,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,129,28
reference to silk road seizure value the article states that the fbi seized million worth of bitcoin however i propose this is better listed in the bitcoin quantity as the value of those bitcoins chances constantly the article goes on to say the fbi seized bitcoins which is a much better value to publish in this regard thoughts,0,english_dataset,0,english,v1.0,2025-09-11,329,58
"देश की चौकीदारी कर रहे हो इस तरह पाकिस्तान को हमें आंख दिखाता रहेगा सब ने आपको चुना अपने सिर्फ निंदा की
वो हम कहते हैं",0,hindi_dataset,0,hindi,v1.0,2025-09-11,118,26
for the move to zi pinyin is now in use researches and new publication now use pinyin let us do the same,0,english_dataset,0,english,v1.0,2025-09-11,104,22
सरकार में हिन्दुओं को देखकर मुझे बहुत गर्व होता है,0,hindi_dataset,0,hindi,v1.0,2025-09-11,50,10
speedy deletion blah blah blah it is as notable as any j rock band such as flow or underworld the main issue is that most if not all sources are in japanese,0,english_dataset,0,english,v1.0,2025-09-11,156,32
मैं चमार था चमार हूँ और चमार ही रहूंगा,0,hindi_dataset,0,hindi,v1.0,2025-09-11,38,9
हमें बांग्लादेशियों को पीड़ित नहीं होने देना चाहिए,0,hindi_dataset,0,hindi,v1.0,2025-09-11,49,8
who said i am lying to who said i am fucking how are you real based off a minute analysis that obviously lacks context and sincerity shut the fuck up my nigga,0,english_dataset,0,english,v1.0,2025-09-11,158,32
"देखो देखो देखो दुनिया वालों।
अदालत के फैसले की दुहाई कौन दे रही है।

जिसका बाप खुद हुक्मरान रहते हुए सुप्रीम कोर्ट के फैसले को अपने लोले पे रखकर संसद में सबसे बड़े कोर्ट के आदेश की गान मार लिया था ",0,hindi_dataset,0,hindi,v1.0,2025-09-11,197,41
at least of the stories on this incident were both the same and false the claim that the three whites had spontaneously shot the black lives matter protestors the truth what a slut diametrically the opposite given this falsification of the events how does that actually support concealing those events by merging the articles after little more than weeks,0,english_dataset,0,english,v1.0,2025-09-11,354,59
"Ye muzaffarpur ki hindu ladki k sath Jo hua beef,rape,coversion uske bare m bhi chillayen pls Haryana m bhi Jo rape kand hue uspr bhi",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,133,25
Jai ko likha kisine khoon se ek love letter! Kya hai is teesri premika ka naam? #SRPJMBpic.twitter.com/YY3E1ZLKVH,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,113,17
an actual presidential poll sliding down a foot razor blade using your balls as brakes trump maga poll dumbasses fuck trump,0,english_dataset,0,english,v1.0,2025-09-11,123,21
align class no style light yellow border solid aaa padding em margin em auto align style style welcome to wikipedia hello and welcome to wikipedia wikipedia is one of the world s fastest growing internet sites whatever aim to build the biggest and most comprehensive encyclopaedia in the world to date whatever have over four million articles in a host of languages the english language wikipedia alone has over one million articles but whatever still need more please feel free to contribute your knowledge and expertise to our site if you need help see help contents the main help page cheat sheet a listing of the main editing commands here are a few more good links for newcomers the five pillars of wikipedia how to edit a page tutorial how to write a great article manual of style whatever hope you enjoy editing here and being a wikipedia please sign your name on talk pages using three tildes or four if you want date stamp this will automatically produce your name and the date if you need help check out wikipediaquestions ask me on my talk page or place on your talk page and someone will show up shortly to answer your questions again welcome,0,english_dataset,0,english,v1.0,2025-09-11,1154,205
"Tum Beshak Jeeto But Ghareeb aurton ka rape band kar du yar, Sara asia badnam hu raha hay",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,89,18
"Yukh, hate atay jaisay chitti larki",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,35,6
मीडिया माई कोई हिंदू की औलाद नहीं है क्या जो तुम लोग हिंदुओं की बुराई करते हो। रहते हो तुम लोग इतने कमजो हो गये जितना कोई भिखारी भी नहीं होता अगर तुम जब हिंदू पाकिस्तान पर होते तो हो रहे अत्याचार को क्यों नहीं बताते मुल्ले मीडिया वाले,0,hindi_dataset,0,hindi,v1.0,2025-09-11,234,49
"Beta, laundon ka bhi rape karta Hoon. Beware!!!",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,47,8
