text,label
basic Instinct meri pasandida  moive hai,0
kya tum bahut jayada movie dekhate ho?,0
"haa, week mei do baar",0
purani bahut payari hoti hai,0
Especially 80's films,0
"mere pasandida genres horror,romantic or comedy hai",0
kya tum ko jim carey comedy mei pasand hai?,0
mujhe jim carey pasand hai!,0
funny guy. Liar liar mei elevator ke scene ko yaad karo?,0
LOL,0
Lol! Haan!,0
kid movie ke bare mein kya kahoge?mujhe abhi bhi Shrek achi lagti hai,0
Shrek funny hai! mujhe laghbhag sari kid movies pasand hain,0
"Mujhe bhi, good memories",0
maine purane time ki kafi classics bohat time se nahi dekhi,0
"I agree, good memories",0
wo worth-watching hain,0
kya tumne Gaslight dekhi hai?,0
"Scary, good movie hai",0
han definitely,0
sign out ka samay ho gaya. Apak day great ho!,0
na gaslight nahi,0
Gaslight to dekho!,0
you bhi,0
me will!,0
:),0
"hello, tum kaise ho?",0
"Good, aur tum kaise ho",0
kya tumne kabhi Jaws dekhi he?,0
"No, mene nahi dekhi. kya voh good he?",0
kya amazing he.ye ek man ke bare me he jo ki apne beach side town ko crazy shark se save karne ki koshish kar raha he.,0
what about LA LA land? kya tumne vah dekha he?,0
kya tumhe lagta he ki iski happy ending he?,0
mene bhi La La land nahi dekha he.tum konsa recommend karoge.,0
"ha. ve shark ko kill karte he end me ,relax aur happy rahne ke liye",0
"kya aadmi he, spoilers haha",0
eemaanadaaree se main jabade kee siphaarish karoonga. yah itanee behatareen klaasik philm hai,0
kyon nahin la la laind? kya aapako yah pasand nahin hai?,0
kya shailee la la bhoomi hai?,0
"la la bhoomi theek hai, lekin yah yahoodiyon kee kaarravaee kee tulana nahin karata hai. main ise 7.8 deta hoon jabaki jabade 9.1 hai",0
la la bhoomi ek sangeetamay romaantik komedee hai,0
"hamm, tum mujhe jabade ke baare mein thoda aur samajhaane ke lie ho sakata hai kyonki main pahale se hee ant jaanata hoon. jab se aapane kaha tha ki la la laind ek romaantik komedee hai, kya joz mein koee romaans hai?",0
aur kya la la laind ek vaastavik kahaanee par aadhaarit hai?,0
"nahin, jabade mein thoda romaans hai",0
hi,0
"hello,  is movie ko dekha?",0
"haan, mein The wolf of wall street ko dekha",0
aapka?,0
"mein nahi, aap rating ke move se agree karte?",0
haan,0
mein is movie ka rating se agree kartha,0
mere liye tho is movie average hein.. kuch special nahi,0
78% tho ache rating hein,0
kya aap soche ki Leo dicaprio ka jordan ka portrayal acha performance hein?,0
"Ha,me socha hu.mere opinion me Dicaprio comedy movie nahi he",0
Movie bahut funny tha?,0
"Me pakka Nahi tha genre""black comedy"" referred tha",0
"Waha kuch scene the jo funny the,je se ki jab Dicaprio dusre logo ko scamming kar raha tha",0
"To wah past me hua tha,ninteen eighteen seven?",0
"Ha,wo ninteen eighteen seven me hua tha",0
"Aap muje movie ke bare me jyada puch sakhte he,sarmaie mat",0
"Kya aap generally ""black comedy"" type movie dekhte he?",0
"Nahi, honestly ye ek black movie jesa he jo mene dekha",0
Mera matlab tha black comedy.,0
KYA AAPKO NAHI LAGTHA CHARACTERS SAB DULL HEI,0
ACTING SKILL KE SAATH THO VOH DULL NAHI HEIN.. ISME KAHI ACHE ACTORS BHI HEIN,0
"PARAGRAPH KE ANUSAR, YEH JORDAN KE TARAH SOUNDS KARTHE JO REALLY SMART HEIN IS SCHEME KO PULLOFF KARNE KA",0
"3 HOURS MEIN 22 MILLION, CRAZY HEIN YAR",0
AAP HEIN?,0
hi,0
hello!,0
"movie jo chuni gayi, 'I",0
maine kabhi nahi dekhi,0
"Hello! Kya tumhe comedy, adventure, aur animation movie achhi lagti hain?",0
"Haan, mujhe woh genres achhe lagte hain. Tumhe iss movie ki ratings ke baare mein kya lagta hai?",0
"Mujhe lagta hai ratings acchi hain. Rotten tomatoes ne 89% diya hai, aur cinemascore ne A+ diya hai.",0
haan aapake jaisa. yah bahut lokapriy tha bachche sab kuchh jame hue theemd chaahate the. kahaanee kee rekha any raajakumaaree philmon se alag thee,0
"haan, mujhe laga ki yah bahut hee pyaare kiradaar vaalee ek behatareen philm thee",0
aap kalaakaaron ke baare mein kya sochate hain? kristan bel mere phevar mein se ek hai.,0
"mujhe lagata hai ki kaast aaidiya menajel ke saath bahut achchhee hai, jisake paas ek khoobasoorat aavaaj hai",0
"vah mahaan, bahut vishisht aavaaj thee. mujhe lagata hai ki oloph sabase majedaar tha.",0
main eneemeshan se bahut prabhaavit tha aur pooree philm kitanee sundar thee,0
"kala bahut achchhee thee, vishesh roop se barph mahal drshy.",0
yah 3 dee mein tha. kya aap aamataur par 3 dee ya 2 dee mein philmen dekhate hain?,0
jab main 3 dee mein philmon ko pakad sakata hoon to main unhen dekhane kee koshish karata hoon. yah ek alag anubhav hai lekin aasaanee se ek philm ko barbaad kar sakata hai. tum kya sochate ho,0
main sahamat hoon. yah philm aur seeton par bhee nirbhar karata hai,0
muje toh sad laga jab uska parents sea mein mar gaye the.,0
"muje voh rock family bahut pasand hein, voh cute hein",0
kya aap soch rahe ki yeh B roadway mein end hoga?,0
haan muje lag raha hein ki yeh jarur hoga. aur us songs toh bahut catchy hein,0
"muje voh hero ko pasand hein , voh toh Elsas ka choti bahen hein typical prince ke jaise bilkul nahi hein",0
"muje bhi. muje bhi pasand hein , kyon ki voh toh family aur sisters ke baare mein hein.",0
"haan yar, muje bhi do behen hein, mein usse relate kar sakthe hoon.",0
mein maantha hoon. muje bhi Hans pasand nahi hein,0
is me aapka favorite character kon hein?,0
"voh toh horrible hein, aur muje usko pasand nahi hein  kyon ki voh Ana ko villain banane mein vyast ho raha tha. lekin mein Kristoff ko bhi appreciate karunga voh kitna helpful tha.",0
mera pasandeeda charitr olaph tha. aap kaise hain?,0
mujhe ann pasand tha. vah anamol thee,0
kya aapako ant pasand aaya,0
us drshy ke baare mein aapake kya vichaar the jab hans ne us kamare mein elsa ko band kar diya tha.,0
yah bhayaanak tha. main hairaan tha kyonki vah shuroo mein itana hans pasand karatee thee,0
"haan, mujhe ant pasand aaya, mujhe yah pasand aaya ki shahar ne dekha ki elsa utana bura nahin tha jitana hans ne use banaaya tha, aur yah ki kristoph aur ana ek saath samaapt ho gae the",0
main bhee.,0
vah ek aisa charitr tha jisamen dhokhebaaj mahaan the,0
Heyy,0
Namaste!,0
Is movie ko mixed reviews mile,0
iske baare me tumhari kya soch hai?,0
muje lagta hai mai hi ek aisi ladki hun jisse ye notebook ni pasand,0
mujhe movie ki timeline pasand aayi lekin screen time me bahut se bematlab moments the,0
haha okay. mujhe rachel or ryan bahut pasand hai to mujhe lgta hai ye movie acchi hai. maine abhi dekhi nhi hai but trailer cheesy sa laga.,0
dono actors movie me excellent the,0
maine bhi ye book ni padhi,0
nice,0
mujhe lagta hai mera opinion biased hai nicholas sparks ki books ki movies ko leke,0
tum uski books read karte ho?,0
muje lagtha ki voh bada cute hein jab usne us scene1 mein ghar lena chatha,0
mein jab 15 ki thi tho mein usse thoda read kiya,0
Allie ka mummy thoda rude thi,0
scene 1 ke baare mein aapka kya upai hein,0
upper class family logon tho kabhi bhi rude hi hote,0
haan,0
end mein muje kaafi logon ko dekhna mila,0
tho yeh world wars ke baare mein hein,0
muje vintage look pasand hein us first scene mein,0
yeh tho sad hote jaa raha hein is point mein,0
Mujhe lagata hai ki 50/50 ya to aap ise love karate hain ya hate karate hain,0
Aisa lagata hai ki is darshy mein nooh kee tarah Gatsby hai kyonki use vishvaas hai ki ek ghar hai jo allie laega,0
Vaapas usake paas,0
Saamagree cheezen,0
Ainee bahut interferes karatee hai,0
Mujhe khushee hai ki Allie Noah ke saath samaapt hota hai,0
Mujhe Lon kelie bura lag raha hai,0
Tume  kya samajhate about last scene ?,0
Yah movie titanic mein pyaar kee tarah hai,0
Haha,0
Movie mei bahut acha action hai but movie bahut bore hai.,0
Mene dekha,0
Ye aant bhut acha hai,0
Yah samajane mei acha hai,0
Ye dekhane mei lagata hai ki hamane kiya,0
Aap se baat karke acha laga,0
hello there!,0
Hey!,0
Aap kaise kar rahe ho?,0
I believe ki mujhe aapko batana chahiye ki aapko kyun Social Network read karna chahiye.,0
"Me accha hun, thanks",0
Social Network ek movie hai?,0
Sahi hai,0
Aapko kya task sopa gaya tha?,0
Aapke sath movie ki charcha karne ka,0
"Janakaaree ikattha karane ka try karen aur tay kare, agar main ise end mein dekhana chahata hu",0
Kaun si Movie?,0
"Accha, maine pahali baar 5 saal pahale The Social Movie dekhi thi aur mujhe bahut maza aaya tha.",0
Social Network ki koi bhi movie mein aapako mujse baat karane ka task saupa gaya tha,0
"vises roop se, Zuckerberg ka Eisenberg ka chitran atyadhik sammohak tha",0
aur wo funny bhi tha,0
kya Eisenberg pramukh actor hai?,0
aur agar tumne Ivy League university attend nahi kiya to ye tumhe sneak peek deti hai ki inke andar life kaisi hogi.,0
han wo lead actor hai,0
kya tum jante ho aur kis movies mein wo tha?,0
actually main sure nahi hu,0
ye iski only one hai jo mujhe pata hai,0
I hope wo as Zuckerberg typecast nahi ho raha,0
kyunki wo bohat talented actor hai,0
aur konse actors they isme,0
isme Justin Timberlake aur Armie Hammer bhi they,0
Timberlake cool tha,0
usne napster ke founder ka role play kiya,0
aur tumhara favorite character kon tha?,0
Probably Eisenberg Zuckerberg ke rup me,0
wasn,0
kyun nahi sabse likable character (jo ki nishchit hi Saverin hai) par usne role ko incredbily well play kiya,0
bahut hi nuanced portrait,0
to movie puri tarah se biographical hai,0
yes,0
although mujhe pata hai ki zukerberg ne plot ki accuracy ke baare me complain ki hai,0
isme kafi tension hai,0
"kya usme ""evil twins"" feature hote hain? (Main unka naam bhul gaya)",0
Han!,0
Winklevoss twins!,0
although wo film mein evil nahi dikhte,0
wo actually mein cheated lagey,0
tumhara favorite scene kya hai?,0
shayad Zuckerberg ki deposition,0
jab wo investigate ho raha tha fraudulently claim karne ke liye ki Facebook ka idea usne socha,0
soundtrack kaisa hai? worth noting kuch hai?,0
Jaws kya good movie thi!,0
me agree karta hu. yah well made thi.,0
scares well timed the,0
mene soundtrack like kiya,0
tumhara favorite part kon sa tha?,0
mujhe lagta he yah Amity Island jaisa location use kar raha he.mujhe aisa lagata he jaise plot kahi bhi ho sakta he.,0
kya soundtrack tumhara favorite part tha?,0
"isme sense he. ha, especially voh part jiske liye ye itna famous he.jab bhi ve audience ki fear aur anxiety badana chahte the unhone ye sound play kiya.",0
ek dusra affirmation ki Spielberg knew ki voh post-production me kya kar raha tha.,0
kya aap aamataur par is tarah kee philm pasand karate hain?,0
"isamen koee shak nahin, vah philmen banaane mein bahut achchhe hain. nahin, yah meree pasandeeda kism nahin hai. main bahut jyaada dara hua nahin hoon. mujhe vrttachitr pasand hain. aap kaise hain?",0
"mujhe hailoveen ke aasapaas is tarah kee philm pasand hai; anyatha, mujhe ekshan philmon ka aanand milata hai",0
yah samajh mein aata hai.hailoveen khud ko daraane ka ek achchha samay hai.,0
shaark ke hamale par meyar kee pratikriya ke baare mein aapane kya socha?,0
"mujhe lagata hai ki yah laalachee tha.main maanata hoon ki janata ko ghabaraana nahin chaahie, lekin laalach se logon ko khatare mein daalana theek nahin hai.",0
"theek, mainne socha tha ki vaastavik duniya ke nihitaarth ko naitik aur naitik roop se donon ke baare mein sochana saaph tha.",0
ise janata ke saamane kaise pesh kiya jae.,0
jisake parinaamasvaroop ant mein ek shaark-shikaar unmaad paida hua,0
"un cheejon ke baare mein bhee sochana pasand karate hain.mujhe vah hissa pasand nahin tha.mujhe lagata hai ki shaark ko samudr tak le jaaya jaata to mujhe achchha lagata, lekin jyaadaatar log shaayad us tarah kee philm ka aanand nahin lenge, paryaapt naatak nahin",0
aap us par sahee hain.,0
brodee ke kadam jaise charitron ko dekhana achchha tha - haalaanki isane unake bete ko kaarravaee ke lie prerit karane ke lie sadame mein le liya.,0
mujhe lagata hai ki speelabarg ne chhote shahar kee raajaneeti ko chitrit karane ke lie naakhoon par sir maara.,0
"haan. yah yathaarthavaadee tha, haalaanki mujhe lagata hai ki yah sabhee prakaar kee raajaneeti par laagoo hota hai.",0
paisa hamesha sarvochch praathamikata lagata hai.,0
durbhaagyavash yah sach hai.,0
aur dukh kee baat yah hai ki hamen traasadee ke hamalon tak kabhee-kabhee kaarravaee ke lie jastee nahin milata hai.,0
kya aapane any speelabarg philmen dekhee hain?,0
"haan, usake paas apane chamakadaar kshan aur raaste mein kuchh yugal hain. mujhe lagata hai ki unakee adhik philmen baad kee shrenee ke bajaay poorv mein aatee hain.",0
aap?,0
hey muje toh unka  movies bahut pasand hein lakin unka movies muje yaad nahi aatha hein. mein yaad karne me thoda kamjor hoon,0
"muje toh voh scuba part bilkul pasand nahi hein, magar voh breathing toh mein enjoy kar raha tha",0
mein tho aise hi hoon,0
maaf kar na us typo ko,0
"jaane de yar, mein toh us breathing ko completely agree karunga, aur mein kabhi bhi us cage mein pani mein nahi jaavunga",0
"acha, aapse baath karne mein bahut dhanyavad. muje lagtha hein ki hamara time ab khatma ho raha hein, aapka din acha rahane ka mera subh kamna",0
aapko bhi,0
Namaste! aaj ham batman vs superman kee charcha karenge!,0
Mahaan! kya mujhe ise dekhane se pahale kisee any dc comik movies dekhane kee jaroorat hai?,0
mai sach nhi keh skta halaki ye man of steel se better hai lekin dark knight jitni achi nhi hai,0
lead actors kon hai>,0
ye 2013 ki man of steel ko follow krti hai so safely dekhna,0
"Batman, Superman aur wonder woman bhi hai isme",0
"Haha kya aap jante ho ki is film mai konse actor Batman, Superman, aur Wonder Womanrole ker rhe hai?",0
"Ben Affleck Batmanka Bruce Wayne, Henry Cavill Clark Kent Superman ka role paly ker rhe hai. Gal Gadot film mai Diane Lane Martha Kent ka aur Amy Adams Louis Lane ka role play ker rhe hai. kya tum in actors ke fan ho",0
sabhi lekin Ben Affleck ki last super hero movie main usse Daredevils mai dekh tha wo mote tha hoskta hai isme kuch acha kam hoga,0
halaki me batman mai Michael Keaton ka fan hu muje lgta hai ki koi or batman ka paly nhi ker payge jo michel keaton ne kiya,0
bhote se critics ko ye pasand nhi tha par cinemascore mai rating B thi muje lgta hai ye sahi thi,0
kya tumne dekhi hai,0
"Maine is solid B grade karta, jaise k CinemaScore ne kiya. Kya tum director Zack Snyder k fan ho?",0
"Main sure nahi hu, usne aur kaunsi movies direct ki hai?",0
Usne Batman V Superman direct ki hai. Wo movie General Zod aur Superman k battle k 18 month baad hoti hai. Superman ek controversial figure ban jata hai aur Clark Kent ko Batman k Justice k tareeke k baare me pata chalta hai aur wo use Daily Planet k articles me expose karna chahta hai,0
Kya usne Batman aur Superman movie k alawa kuch direct kiya hai?,0
"Honestly, main bol nahi sakta hai. Mujhe pata hai k usne ye film direct ki hai aur David S. Goyer aur Chris Terrio ne write ki hai",0
Kya Batman aur Superman is film me enemies hai?,0
"Wo hai. Lex Luthor jo Superman ko harane ko lekar obsessed hai , basically dono ko ek dusre ko fight karne me manipulate kar deta hai.",0
Wonder Woman kis side pe rahti hai.,0
"Well to be honest, Batman Superman ko hara deta hai aur jaise hi wo Superman ko maarne wala rahta hai, Superman bolta hai ""save martha"" to Lane andar aati hai aur explain karti hai k Martha uski maa hai. Batman Martha ko rescue karta hai aur Superman scout ship pe Luthor ko confront karta hai. Is point pe Wonder Woman ab tak debut nahi ki hai",0
Dang! Crazy Batman superman ko hara deta hai. Kya wo bas ek millionaire nahi juske pas bhut fancy gadget hai. Superman k paas at least real super powers hai. Koi bhi sochega k wo superman jeetega. Kya Batman k paas kryptonite ya kuch tha?,0
"main aapase bahut sahamat hoon! yah hairaan karane vaala hai, lekin baitamain ke paas ek bhaala hai, jisase vah suparamain ko maarane kee yojana banaata hai, isase pahale ki vah ""sev maartha"" lain ka upayog karata hai, baitamain ko maarane se rok deta hai.",0
kya usake baad sena mein shaamil hote hain?,0
वे*,0
"ve shukr manaate hain - baitamain vaastav mein maartha ko bachaata hai, jabaki suparamain ka saamana loothar ke saath skaut jahaaj tak jaata hai.",0
kya vah ko Luther maarata hai?,0
"Luther bhee vahee tha jisane maartha ka apaharan kiya tha. vah loothar ko nahin maarata hai, lekin loothar ko giraphtaar kar liya jaata hai, jisamen baitamain ne jel mein rahane ke dauraan usaka saamana kiya, chetaavanee dee ki vah hamesha dekhata rahega",0
to mool roop se phrainchaizee mein ek aur philm ke lie ek opaning chhod raha hoon?,0
mainne is philm mein suparamain aur baitamain ke aautaphit par bahas sunee hai. kuchh ka kahana hai ki ve kamaal ke hain aur kuchh kahate hain ki ve haasyaaspad hain aur bahut alag roop mein unake b ailovaid mool hain. is par aapake vichaar kya hain?,0
"ve karate hain ... aphasos kee baat hai ki, suparamain kee mrtyu ho jaatee hai, haalaanki, broos ven ne metaahumans kee ek teem banaane ka iraada kiya, metahumans ke saath shuroo karate hue unhonne lyoopor kee phailon mein sooparamain kee anupasthiti mein duniya kee raksha karane ke lie paaya",0
"jabaki yah aisa lagata tha jaise ek bade aadamee ka do minat mein ek saath do gudiyon ko pakadana, mujhe abhee bhee main oph steel se behatar laga.",0
"rukoo, superman maar gaya ? keise??",0
bahut Imandaari se film ke aakhir mei  dirt superman kocoffin mei rakh deta hai ! socho ki ham aakhari line mei hai! hamare saath batman or superman ke bare mei baat karne ko maja le. mei aapko ek din isko dekhane ki salah deta hu.  yadi aap sahmat hai to filma ka score B hai mere khayal de aap pasand karoge  aap apna khayal rakhe or aapka din achcha ho!,0
hi,0
Hello!,0
aap kaise ho,0
"ache hoon, aap?",0
mein bhi,0
kya aap is movie ko dekha?,0
tho aap dekha?,0
nahi,0
lekin muje angelina jolie pasand hein,0
mein nahi dekha lekin muje sleeping beauty ka story bahut pasand hein,0
muje bhi,0
rotten tomatoes ne 51 de,0
hmm,0
utni badiya nhi,0
10 mein se 5.7. Vahiyaat,0
Mujhe pta hai,0
Toh yeh movie zyadaya villan ke baare mein hai,0
yeh ek dark fantasy film hai,0
han,0
waah,0
to wo asal mein mein ek fairy thi,0
han,0
mujhe vishwaas nhi hota ki iss movie ko aaye itna lamba samay ho gya,0
it says ki wo ek human ke pyar me pad gai,0
I know,0
right,0
and then uske wings kaat diye gaye,0
I think maine is movie ke baare me sirf ek baar suna hai,0
oh wow,0
ah man phillips ka kiss kaam nahi karta,0
aur uska lover use betray karta hai,0
stefan aurora ka father hai,0
aur maleficent use pyar karti hai,0
haan,0
muje bura laga uske liye,0
oh shaana,0
voh tho stefan ko mouth ke muh me daal diya,0
haan muje bhi bura laga,0
mein samaj sakthe hoon ki yeh different hein lekin muje old fashioned sleeping beauty ko hi pasand hein,0
muje tho uska aisa change hona bilkul pasand nahi hein,0
haan,0
isse changed ke liye 5.1 rating deya hein,0
is film tho stereotype ko break kar liya,0
lekin yeh tho kuch jyada hein yar,0
right,0
right,0
voh fix kar sakthe the lekin voh broken hi nahi tha,0
yea,0
yeh kuch jyada hi hey,0
aur mein iska director ke baare mein bhi kuch suna nahi haei,0
muje lagtha ki yeh uska first movie hei,0
haan kuch familiar sounds karta,0
probably kuch samay lagega is tarah ka movies ko direct karna,0
i think tum sahi ho,0
par uska metacritic score 56/100 tha.,0
bahut kam,0
"jahaan se meine suna hai, angelina jolie ne bahut achcha perform kiya hain usme.",0
well mujhe pyaar karta hoon usse,0
main ek ladki hoon,0
aise hi nahin,0
lol,0
haha,0
wo ek achchi actress hai,0
mujhe lagta hai wo great person aur actress hai,0
ek scene hai jisme aurora choti ladki hai aur wo maleficent ke paas jati hai,0
aur unhe Angelina ki daughter use karni padi.,0
oh sach mein???,0
kyunki uski daughter akeli thi jo scare hokar bhaagti nahi,0
han mujhe ye acha laga,0
han,0
par critical responses,0
"ye interesting hai ki, frozen ki tarah, true love scenario    ke liye prince ki zarurat nahi thi",0
ye ek mother daughter love ki tarah tha,0
or mujhe wo pasand hai,0
Jo mujhe sach mein pasand hai,0
mujhe ye bahut bura lag rha hai ki tumhe har samay ek prince chahiye,0
"""sab kuch achha"" banane ke liye",0
Main bhi,0
yeh bahut hi entertaining movie leg rhi hai,0
aur mujhe isse dekhna hi hoga,0
Maine isse iss weekend pe mauka de skta huin,0
Main bhi,0
lekin main nhi mera 2 year old sidha khada reh sakta hai,0
philm joz par aapakee kya raay hai?,0
"sach kahoon, to mujhe shaark philmen bhayaanak lagatee hain.",0
main yah nahin kah sakata ki main tumhen dosh deta hoon. philm nishchit roop se us dar ko badatar bana detee hai!,0
Kya tumhe pata hai ki ye film ek book par based hai.,0
"Nahi , maine nahi. Lekin mein surprise nahi hun zyadatar movies mein aisa hi hota hai.",0
Lekin Jaws ka music mujhe pasand hai.,0
"Agreed, ye tension ko badhata hai aur isko aur daravana banata hai, lekin shayad uska wahi point hai.",0
Kya aap surprised hain ki is film ki critic score rating itni high hai ? Aur agar mein iska music driving karte samay sunoon to mujhe lagega ki koi mujhe maarne aa raha hai. Haha,0
"97% bahut zyada high hai , mujhe laga ki kam se kam kuch log to low scores denge.",0
"Kya aap sehmat hai ki ye ""cheerfully perverse"" daravani movie hai ?",0
"Mujhe bhi aisa hi lagta hai. Shayad isliye kyunki us zamane mein aisa pehle nahi hua tha aur jo nikal ke aaya wo kafi alag tha ? Usko """"give it a pass"" dena easier hoga aur mein kahunga ki ye ""cheerfully perverse"" depending on aap kaisi movies pasand karte hain.",0
"Kya aapko lagta hai ki it ""is too gruesome for children""?",0
"Chhote bacchon ke liye haan, unko nightmares aa sakte hain.",0
"main definitely isase agree karta hoon. Mujhe yah ajeeb lagata hai ki ise ek ""Thriller"" film maana jaata hai.",0
mujhe lagata hai ki yah interesting hai ki key scenes mein yah  shark attacks ke ek beach town pareconomic impact ka baare main batata hai. Aapako aashchary hota hai ki kya ve real life mein adhik paisa banaane ke lie aisa kuchh cover karenge.,0
"aaj ke society mein, mujhe lagata hai ki aisa hee hoga. yahaan tak ​​ki agar ek bounty hunter ko kaam par rakha gaya tha, to ve shaayad bolengain, ""yahaan dekhane ke lie kuchh bhee nahin hai, maze karo!""",0
"mujhe yah interesting lagata hai ki unhonne ise fictional  ""New England resort town"" mein rakha tha. Aapako lagata hai ki ve Californiamein kaheen aur le gae hote kyonki vahaan bahut saare beaches hain aur yah kitana vishaal hai.",0
"Main ye maanta hoon ki , aamataur par  New England mein bahut saare shark attacks nahin hote hain, aamataur par south mein ya west coast par.",0
"main imagine nahin kar sakata ki main ek tourist ke roop mein  beacht par jata rahoongan , agar bahut saare log marate hue paaye jate rahein.",0
"Main agree karta hoon. Movie ek tarah se silly hai , jitana bhi aap isake baare mein sochate hain. khaasakar jab log shahar aur beach team par vishvaas karate rahate ki sab kuchh theek hai.phir bhee log marate rahate hain? mujhe lagata hai ki ve chaahate hain ki aap disbelief ko suspend karen. hah।",0
ya aapako lagata hai ki tourists paisa banaane ke lie bounty mein shaamil honge.,0
mujhe pata nahin tha ki kinaare ke paas itane saare different type ke sharks the.,0
"key scenes main tiger shark aur ek great white, donon ka varnan kiya gaya hai.",0
Main soch raha tha ki mayor sheher mein kahin paise leta hai ya beach ke khulne pe? Woh beach kholne par bohot adamant tha. Aur mujhe humesha lagta tha ki Tiger Sharks chotti hoti hain.,0
"Maine Great Whites ko humesha unn badi ""Jaws"" sharks ki tarah socha hai.",0
Ajeeb hai ki woh kissi scientist ya marine biologist ko beech mein nahi laa rahe.,0
Last scene mein bhi bohot hi limited plan hai shark ko hook ya harpoon karne ka.,0
"Sahi, I agree. Unke paas shark attack determine karne ke liye ek ""Oceanographer"" hai. Par koi scientists nahi laaye help karne ke liye.",0
"Kaafi bekar plan hai, aur aage jaate jaate woh plan banaate jaa rahe hain.",0
"Kitna crazy hai ki shark ne ""shark-proof"" cage todd diya.",0
"Aur, $10,000 ka reward bohot kam hai life risk karne ke liye.",0
Shayad 1975 mein isse zyaada worth tha.,0
"Haan. Mere liye toh worth nahi hai. Shark ko chhod ke, main NYC vacation par chala jaoonga. Haha.",0
Aur yeh 1975 Definitely adhik kimat ka hoga.me nahi janti how much.,0
hello,0
hi,0
HI,0
Hello,0
Tum kaise ho?,0
?,0
*,0
I am doing well,0
Good,0
Kya tumne Maleficent dekhi hai,0
Han bilkul,0
wo bohat lovely hai,0
ye really achi hai,0
iske baare mein tume kya acha laga,0
CGI really good hai,0
aur storyline fantastic hai,0
main really agree karta hun isse,0
bilkul agree,0
aur casting bhi,0
ye great story batati hai is baare mein ki kaise good intentions bad turn out kar sakte hain,0
aur movie ke baki saare components great hain,0
han ye Angelina Jolie ko star karti hai,0
"haan, yeh clean movie hein",0
voh is role ke liye suitable hein,0
isme tho yeh ache tarah pulled out kiya,0
rotten tomatoes ne tho 51% score deya hein,0
muje bhi kuch aise hi feel huva,0
haan,0
lekin is character tho badiya justice deya hein,0
is movie ke liye tho badiya hein,0
male lead tho Sharlto copley ne hi kiya,0
haan voh tho badiya hein,0
