text,label,source_dataset,original_label,language_hint
Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: http://youtu.be/9Kh_U6kZmqM?a  via @YouTube,0,combined_hate_speech_dataset_2,0,hinglish
Pappu ka ye saja phansi se kam nahi,0,combined_hate_speech_dataset_2,0,hinglish
Sir phansi nahi. .. sirf looted money wapas chaiya,0,combined_hate_speech_dataset_2,0,hinglish
"Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",1,combined_hate_speech_dataset_2,1,hinglish
Aap log kabhi America ki dalali karto kabhi nafrat,0,combined_hate_speech_dataset_2,0,hinglish
Agar isse love kehte toh hum jo karte usse kya hate?  @ChawalaRiya @Yashika12_K9https://twitter.com/DrrrSanket/status/928631679995879424 …,0,combined_hate_speech_dataset_2,0,hinglish
bc pehli baar kisne hail hitler kaha hai nahi toh #adolfhitler ko sab sadakchaap wala gaaliyan dete hai,0,combined_hate_speech_dataset_2,0,hinglish
#Narendra modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,1,combined_hate_speech_dataset_2,1,hinglish
Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,0,combined_hate_speech_dataset_2,0,hinglish
Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,0,combined_hate_speech_dataset_2,0,hinglish
Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,0,combined_hate_speech_dataset_2,0,hinglish
Pervez musharraf ...Nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast.. Haramkhoor nawaz shareef ko phansi do moto gang k sath,0,combined_hate_speech_dataset_2,0,hinglish
Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,0,combined_hate_speech_dataset_2,0,hinglish
Dont hate. You nanhi si jaan. Aur ek tu woh b,0,combined_hate_speech_dataset_2,0,hinglish
mujhe to dono se hi nafrat he. par BJP se mujhe itni nafrat he Zindagi me ise vote nhi dunga. kyonki ye party vote ke laayak hi nhi he.,1,combined_hate_speech_dataset_2,1,hinglish
Ye shocked h Kya Lat padi h ise Arshi se jabardast.....Or khana khayegi n zillat ke laddu Salman ne bhijwa diye,0,combined_hate_speech_dataset_2,0,hinglish
Haha farzi hatred spreading moron @shaileshgam  blocked me.....,0,combined_hate_speech_dataset_2,0,hinglish
ye vidya salman se bhut bdi celebrity h.,0,combined_hate_speech_dataset_2,0,hinglish
Ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante hai..ye nafrat pahelane log apke guru ho sakte mera nahi..mere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,0,combined_hate_speech_dataset_2,0,hinglish
"as a akshra i hate hina khan ,,but jaise hi usne is ghar m apne aap ko dikhaya hai ,,i respct her ,,bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai ..waah or jinko footage chaea wo hina hina karte rahte hai ,,hina kis kis ko palegi show m.apni image banao sab",1,combined_hate_speech_dataset_2,1,hinglish
Salman bahut bda chutiya h. ..sirf shilpa ka side leta h.  Kaaaminaaaa....phone pe bhe shilpa se baat kia.   Chutiya.  I hate this biased show ...abe dhang se host kr.    Isbar unfair #LuvTyagi #eyehinakhan #ipriyanksharma,1,combined_hate_speech_dataset_2,1,hinglish
Aayega jab take alia ki shaadi age pass aayegi kyuki alia said 30ki hoote hi won shaadi kargi varun bhi kitna kutta hai Natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,1,combined_hate_speech_dataset_2,1,hinglish
"mahajiron se kisi ko bhe nafrat nahe hai,mostly log mohajiron ki tragedy ko samjhte hain.aur ,but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai.",0,combined_hate_speech_dataset_2,0,hinglish
Haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,0,combined_hate_speech_dataset_2,0,hinglish
Pata nahi log kyun rape karte he farziwal ke sarkar me har 1 km par spa khula he aap bhi add kar do rape kam hi jayenge,0,combined_hate_speech_dataset_2,0,hinglish
"Ye kasisi sacchai Hai RSS wale Bomb banate Hai aur media Raafiya Naaz ko lekar Muslmano ke khilaf zaher ugalta Hai kub Tak aisa chalega,",1,combined_hate_speech_dataset_2,1,hinglish
apne personal hatred k liye srk ka nam badnam kr rhe hai chutiye...bhakts ko support kaise kr sakta hai koi lolll,0,combined_hate_speech_dataset_2,0,hinglish
Red sy kyunky red tumhe meray khoon ki yaad dilay ga <3,0,combined_hate_speech_dataset_2,0,hinglish
"is ghar main apko jis insan se nafrat ho samjh lo wo insan nafrat ke layak nahi hai balki izzat ke layak hai ,or jisko dekhke izzat ka dil kare samjh lo wo bahrupiya hai ,,ye is ghar ki khasiyat hai ..3 people are real..sapna akash or hina.baki sab fake or banwti hai. #BB11",0,combined_hate_speech_dataset_2,0,hinglish
Ek  Ara ke Bjp ke jila mahamantri  Sh.Dhirendra singh se sare aam Road chaap leader Surendra singh or uske bodyguard Rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai .or Hamari BJP ke karya karta aise hi baithe hai.kal ye ghatna aap or Hum  .,0,combined_hate_speech_dataset_2,0,hinglish
Pichle 2 month se jio ka net 50K/s se jyada jata bhi nahi hai kuch bhi online dekhe to buffering ke bina sambhav hi nahi hai,0,combined_hate_speech_dataset_2,0,hinglish
4G bolkar 2G ka speed mil raha hai ye sara sar dokha hai .I hate jio,1,combined_hate_speech_dataset_2,1,hinglish
tujhe murder kar dungi main!,1,combined_hate_speech_dataset_2,1,hinglish
I hate weddings ye madrchod log 1 ghante se ghar k niche dhol baja rhe h,1,combined_hate_speech_dataset_2,1,hinglish
Haan khuch log to twtr se v murder kr shakte hain apni ghatiya tweets se aayi,0,combined_hate_speech_dataset_2,0,hinglish
Humidity ka kam tu mat kar rape hua he bhi ki ni 95%case jhut hote he fashion ban gaya he ye fasal mota kamao tum chutya media ki vajah se,0,combined_hate_speech_dataset_2,0,hinglish
"Hina apni galti manane ko tayar hi nahi hoti.wo hai kya ki usko itna ghamand hai,sabko bolti hai ye mera class nahi,fake lady,arshi bahut acchi hai is heena se,I hate her",1,combined_hate_speech_dataset_2,1,hinglish
Jis par nitiyo he wahi janta he ye media bhenchod rape rape chillata he sach kutch or hota he isiliye.Aropi ladki jhute fasa deti he 95%forg,1,combined_hate_speech_dataset_2,1,hinglish
"Chatukarta ke baare me to Maine Suna hai BJP ne ab tak ke saare record tor diye lab ke. Ab to Pehchaan hi yahi hai DOOSRI buri zubaan, gaaliyan aur sachchayee, imaandaari aur aqal se nafrat.",0,combined_hate_speech_dataset_2,0,hinglish
Saheb 60 sal.Kyabhutta. bun rahe tha or. Kabhi cort nahi gaye ho pahle pata karo rape ke 95%case forge hote he tum jaise media kanon banwaya,0,combined_hate_speech_dataset_2,0,hinglish
lol true kuy ki uski jo awwam haina jo is duniya se bhaar jaha se jaadu aaya tha vha ke log aise krte hai aur khud buddhi hai aur dusro ko bolti kitna makeup krti hai khud asli pic dekh legi na jiss deen khud se nafrat krne lagi arshi,1,combined_hate_speech_dataset_2,1,hinglish
@JioCare mere aria me jio ka speed 50K/s se jyada  milta hi nahi hai .Aisa sambhav hi nahi hai ki bina buffering ka koi video online dekh le,0,combined_hate_speech_dataset_2,0,hinglish
4G ke naam par 2G mil raha kai,0,combined_hate_speech_dataset_2,0,hinglish
Aisa hi raha to recharge samapt hone ke baad jio chor kar kisi aur me chale jayege,0,combined_hate_speech_dataset_2,0,hinglish
"Sanitary Napkin bhi sasti ho gayi Pahan le , Bahut khoon fek raha tum logo ki dukan se",0,combined_hate_speech_dataset_2,0,hinglish
Aaj to Salman bhi chupke se bol Gaye k I hate Hina and agree with #Arshi fir bhi Hina k andhe bhakto ko dhik nhi raha,0,combined_hate_speech_dataset_2,0,hinglish
"Sabhi jagah to media wale nafrat or jhgde to faila hi rhe hai ,ab logo k ghar me v suru ho gye",0,combined_hate_speech_dataset_2,0,hinglish
30 saal Punjab ki awam ka khoon choosnay walay Sharif brothers aaj Tak saverage ka nizam theak nai kar sakay..,0,combined_hate_speech_dataset_2,0,hinglish
#Hina ko main dekhna or Soonna pasand Nahi karta I hate #HinaKhan,1,combined_hate_speech_dataset_2,1,hinglish
Tujhe nafrat hoti hai na pando se.. Tu bhi pandi hi hai.. Ek kaam kr.. Ek baap ki aulaad hai to ek dalit se shadi krio. Dekhte hain ki tujhe sirf yahan publicity chahiye ya tu sacchi h.. Mai ek dalit se pyar krta hu aur shadi bhi krunga usise.,1,combined_hate_speech_dataset_2,1,hinglish
What's wrong with Sapna... Samjhti kya hai... After Hina I hate her... Kitna attitude hai... Karna kuch nahi hai bas bakwas karni hai.... #BB11,1,combined_hate_speech_dataset_2,1,hinglish
Har election ke pahiley Janta ke samne kuch tukde fenk diye hate hain,0,combined_hate_speech_dataset_2,0,hinglish
Mera Khoon khaula tha q ki wo movie Boycott Khan ki wajah se hui thi aur Ye Rajpoot ki wajah se...,1,combined_hate_speech_dataset_2,1,hinglish
I hate this Sapna so much  itna ghamand kisliye bhai?,1,combined_hate_speech_dataset_2,1,hinglish
Bhai ji aap ko Kya karna hai birthday manaye ya nhi manaye...aap apna kaam theek se toh karna sheekho..jhut or jumlaa aap k khoon mai hai,0,combined_hate_speech_dataset_2,0,hinglish
Hina ne Shilpa ji ko kitna Acha Bola hai ki humare profession main make-up lagana padta hai aapki aadat chhoot gayi hogi,0,combined_hate_speech_dataset_2,0,hinglish
Padmavati Ka Dusra Khoon Sunkar Kano Se Khoon Nikalne Waala Aur Deepika Ko Dekhte Hi Vomiting. Koi Itni Ugly Kesi Dikh Sakti Hai Bhai.,0,combined_hate_speech_dataset_2,0,hinglish
Arshe jaisii Gandi tho nahi hai hina...we love hina we hate Arshi n Akash,1,combined_hate_speech_dataset_2,1,hinglish
"Punjabion ne Punjabion ko maara. Isliye nahi jataya aap ne. Kisi ne nahin kaha tha apne hi zaat paat muhallay ki aurton ka rape karo, kisi ne nahin kaha tha aik doosre ke talwaaron se shaheed kar do. Ab is main koi aur kia kare jo Punjabion ne khud aik doosre ke saath kia? https://twitter.com/samar_abc/status/929395873695617024 …",0,combined_hate_speech_dataset_2,0,hinglish
Bhai wo hate story ki stages hoti hn..,0,combined_hate_speech_dataset_2,0,hinglish
Bohat hi fazool. college se sakht nafrat hai. Mujhe 10th ki chuttiyan wapis la do,1,combined_hate_speech_dataset_2,1,hinglish
@deepikapadukone ne SRK ko attitude dikhaya tha.,0,combined_hate_speech_dataset_2,0,hinglish
Better hai sab milke kuch accha socho acchi sarkar yuva sarkar banao kuch progress karo milke jisse desh ki taraqqi ho.,0,combined_hate_speech_dataset_2,0,hinglish
"Bhai movie nai Dekhi par Sanjay Leela ko jaante hai, aapko agar pata hota kei ye Saab raajput se nafrat kyu krte hai or ek baar nai ye apni kai filmo me raajput o ko nicha dikhane ka koi moka nai chodte. To aap ye bakwaas nai krte",0,combined_hate_speech_dataset_2,0,hinglish
"Lol maine pura thread kiya tha, wo dekha nai? KARMA IS REAL.",0,combined_hate_speech_dataset_2,0,hinglish
LEKIN TUM SAB LOG PERSONAL HATE KI WAJAH SE CHUTIYAPA KARTE HO,0,combined_hate_speech_dataset_2,0,hinglish
Se Cancer K Mareez K Elaj Karwane Lahor Jane Wale Mutadid Sheri Panjab Poliec K Hate Chad Gai.,0,combined_hate_speech_dataset_2,0,hinglish
Mai bahut respect kar Tha @deepikapadukone ko Dilwale k phele Tak jab usne  #ChallengeAccepted ka tweet dala tabse aj tak hate h hate krta Hun aur karta Rahunga (Kismat badi kutti cheez hai saali kabhi bhi palat jaati hai) Kabhi nhi bholunga jab Tak h jan,0,combined_hate_speech_dataset_2,0,hinglish
"Ye deekho ek aur farzi rashtravadi.. isko Muslims ka cencus yaad hoga aur pure world ka history bata dega, Islam majority = Terrorism & Non secular, yahi samjayega.. Hindu bachao yahi chilayega.. hahaha https://twitter.com/Atheist_Krishna/status/929392383912845312 …",0,combined_hate_speech_dataset_2,0,hinglish
Koii School ka Imtihaan Nhi,0,combined_hate_speech_dataset_2,0,hinglish
"Fir bhi Hindu Terrorism secular logonko najar ata hai aur Yoga me communalism & safronisation! Unka Yoga virodh hindu virodh nahi, secularism & shanti sandesh samazna chahiye! https://twitter.com/pooja303singh/status/929223222356271104 …",0,combined_hate_speech_dataset_2,0,hinglish
"Ravish SACHCHA suchcha journalist hai. AUR BJP KO SACHCHE, IMAANDAARI AUR BUDHDHIJEEVI, INTELLIGENT AUR ACHHE LOGON SE NAFRAT HAI. EXTRA ORDINARY LOUD VOICE AUR ZEHREELE SHABD ISTEMAAL KARENGE.HAR WAQT GUSSIE ME RAHENGE.YE KYA SANSKAAR,LARISA CULTURE HAI.BURE LOG. BURI SOC.",0,combined_hate_speech_dataset_2,0,hinglish
Oooo hello jo bhi serial dekhke hina ke fan the wo sab log aaj hina ho hate karne lage he 60% log ab samaj lo tum hi.n salmanji ne bhi aaj hina ki bajai lagta he dekha nahi he. Kutti he hina,0,combined_hate_speech_dataset_2,0,hinglish
Tum Ne Dekha Ho Ga K Kanta Lagny Per Log Phool Ko B Phenk Dety  Hain .Love U.....,0,combined_hate_speech_dataset_2,0,hinglish
Ham likhte hi aisa hai ki khoon garam ho jaae! Khikhikhi! Khair yah bas mera imagination hai as a writer! Baaki OM RAUT ne apna likha hoga kuch alag!,0,combined_hate_speech_dataset_2,0,hinglish
bhai isko idhar chod aur nikal..iska movie aane de..tab dekhta hoo isko..saale sab milke hate trend karre hai..God bless them,1,combined_hate_speech_dataset_2,1,hinglish
"Ram ko kalpanik bolne Wala aur ye kehne Wala ki "" Jo Mandir jaate hai, wo ladkiya chedte hai"" Aisa kutta ab ""TEMPLE RUN"" Khel Raha hai...",0,combined_hate_speech_dataset_2,0,hinglish
"Ye to Hinduo se nafrat karta hai na....fir Mandir k dhakke kyu...isse Astha se koi mtlb nahi, elections se hai.",0,combined_hate_speech_dataset_2,0,hinglish
Achchha Indian Hindu n achchha Indian Muslim kabhi bhi ekdusre ke liye dil me nafrat nahi rakhta!Sir aap aise comments ko ignore karein pls!,0,combined_hate_speech_dataset_2,0,hinglish
@Bigg_Boss__ Hina  such a diplomatic  drama queen..khud aag lagati Hai baad me dusro ka naam leti Hai..hate u,1,combined_hate_speech_dataset_2,1,hinglish
Koi Tiger ka khoon kar do... Humari nhi to kisi ki nahi...,0,combined_hate_speech_dataset_2,0,hinglish
Jiska khoon  ek movie free mein dekhne ke liye ufaan maare wo Rajput,0,combined_hate_speech_dataset_2,0,hinglish
Jo bina zyaada load liye movie dekhne jaae wo moviegoer,0,combined_hate_speech_dataset_2,0,hinglish
"Jo Twitter pe Support, Boycott ka trend kare wo Chutiye",0,combined_hate_speech_dataset_2,0,hinglish
hina khan ek murder bhi kar degi toh bolegi maine use jaan lene ke liye nahi maara aise hi goli chalakar dekh rahi thi uspe,0,combined_hate_speech_dataset_2,0,hinglish
"Sir @jaipur_police , humare Rajput bhai @amitsingh933 ka khoon... http://fb.me/7sbLsxEy1",0,combined_hate_speech_dataset_2,0,hinglish
"Sir @jaipur_police , humare Rajput bhai @amitsingh933 ka khoon ufaan maar raha hai.  Kuch ho sakta hai kya? pic.twitter.com/58WFsQwnUh",0,combined_hate_speech_dataset_2,0,hinglish
ISE DEKH KAR JISKA KHOON NA KHOLE OR WO CHEEPIKIANS KO SUPPORT KARE TO WO CHUTIYA https://twitter.com/indicine/status/678186502291984384 …,0,combined_hate_speech_dataset_2,0,hinglish
India wale sab arshi ko hate karte h,0,combined_hate_speech_dataset_2,0,hinglish
Dil Sambhal Ja Zara Phir Mohabbat Karne Chala Hai Tu- Murder-2,0,combined_hate_speech_dataset_2,0,hinglish
Hate them. Sare marks yahin jate hain bc kisi ko kuch nahi ata,0,combined_hate_speech_dataset_2,0,hinglish
Yaar I hate Bigg Boss par Aaj Maine Kapil  sir ke liye Bigg Boss Dekha per Kapil  sir to Aaye hi nahi,1,combined_hate_speech_dataset_2,1,hinglish
370 hate ya na hate abdullah india me hoke v pok pakistan ka batate hai aur tere jese 2 kodi ki congi chudail wahi kahegi jo congress karti ayi hai. tujhe v lagta hai halala ki aadat pad gyi hai islie esa bol rhi hai,0,combined_hate_speech_dataset_2,0,hinglish
KOI RAPE KAR RAHA HO ..AUR TUM DEKHTE RAHO TOH TUM BHI GUNHEGAR HO,0,combined_hate_speech_dataset_2,0,hinglish
To Bhai muhabbat konsa DSP lagwa deti Ha,0,combined_hate_speech_dataset_2,0,hinglish
@BeingSalmanKhan I hate ppl wen dey call him bhai jabki vo feeling hoti hi nahi hai,0,combined_hate_speech_dataset_2,0,hinglish
Desh me kitna Hatred felaoge Sir ji,0,combined_hate_speech_dataset_2,0,hinglish
Mulle Sirf terrorism ko invent karne ke liye jeet sakte hai..,0,combined_hate_speech_dataset_2,0,hinglish
"Is MC ko Bharat mein la kar phansi dena hai!! Kya  kar rhi BJP sarkar, parliament mein phle Pakistan  ko Atankwadi desh to ghosit kare e.",0,combined_hate_speech_dataset_2,0,hinglish
suadie kings apne badshat bachane k liye kisi ko be ne chora,0,combined_hate_speech_dataset_2,0,hinglish
muslamno ko Mecca aur Madina k nam pe cash karwata raha,0,combined_hate_speech_dataset_2,0,hinglish
@BeingSalmanKhan Aajkal Thodi bahut Nafrat si ho gai hai Aapse d way u... Blacked Heena Khan ....,1,combined_hate_speech_dataset_2,1,hinglish
hatred for all men..Dosti hai Dushmani to nahin..,0,combined_hate_speech_dataset_2,0,hinglish
I also hate her ... mc @deepikapadukone bhut ghamandi hai... Srk ko thanks tak Ni bolahttps://twitter.com/5blurryface/status/929370858463752193 …,1,combined_hate_speech_dataset_2,1,hinglish
Varun khan? ulti ganga hate speech @SanjayAzadSln @jigneshmevani80 @Shehla_Rashid @DrKumarVishwas @kanhaiyajnusu @ikamalhaasan @LambaAlka,0,combined_hate_speech_dataset_2,0,hinglish
Bhakts Hamesha SRK Ko Target Krte Hai ..,0,combined_hate_speech_dataset_2,0,hinglish
Hate Deepika K Liye Hai ..,0,combined_hate_speech_dataset_2,0,hinglish
Tag Block Bhakt Ka  Real SRK Haters ....,0,combined_hate_speech_dataset_2,0,hinglish
Btw Movie Apne Ko Dekhna nhi Hai,0,combined_hate_speech_dataset_2,0,hinglish
Badi ummide lagaye bethe hai apni maa ke murder ke khulase ka.hamare ander bhay hai . Thana fatehpur sikri ke imlaoda gaon ki daqeti murder ka,0,combined_hate_speech_dataset_2,0,hinglish
"Toilet ghotala, Sri Jan ghotala, bandh ghotala aur murder ka aarop.  Wah re tera surya.  Paltua ko sharm bhi aata hai ki nahi? ?",0,combined_hate_speech_dataset_2,0,hinglish
Ma khata ho Article 63 ka tahat is bat pa muzamil Abbas Tara ko 51 bar phansi ke saza honi chaye........gali gali ma shooor ha aia sara .................chorrrr ha,0,combined_hate_speech_dataset_2,0,hinglish
Thank You Gud night.Mere kaan se khoon nikal raha hai.,0,combined_hate_speech_dataset_2,0,hinglish
Islamic terror faila rakha ha india me inhone,0,combined_hate_speech_dataset_2,0,hinglish
muje kabhi yaqin nahi asakta tumhari baat pe k u like puneesh..isliye kyun karun nafrat jb tum keh hi jhoot rahi ho,0,combined_hate_speech_dataset_2,0,hinglish
@mahwashajaz_  tumre yaha aise khule aamm murder hote hai kya? https://twitter.com/ZeenabBaloch/status/935350186381070336 …,0,combined_hate_speech_dataset_2,0,hinglish
kisi kay baap ka yeh Pakistan thori hay !!,0,combined_hate_speech_dataset_2,0,hinglish
Are iski baat ur gadhe ki laat ek jesi h roj palti marti h...iska koi bharosa nhi...i hate her to much roj gand nikalti h shilpa k liye...ise bas hina pasand h,1,combined_hate_speech_dataset_2,1,hinglish
Kabhi nahi jhoot sunn kar kaan may se khoon nikla .   vote for shilpa,0,combined_hate_speech_dataset_2,0,hinglish
Yeh talent #Rishtedaaron main b hota hai,0,combined_hate_speech_dataset_2,0,hinglish
Chalo koi toh hai jo sacchai dekh sakta Hai...warna baqi toh andhe ho chuke hai nafrat me..koi hater galat video bana k bhej raha Hai aur yeh log pura such jane bagair uchal rahe Hain pagal log,0,combined_hate_speech_dataset_2,0,hinglish
Bandagi k aankhu se khun k aansu kya aankh phod k khun hi Nikal do... I hate this bitch..  #bb11,1,combined_hate_speech_dataset_2,1,hinglish
"Ek Chehra Dil Ke Kareeb - Melodious Song - Lata @ Garam Khoon - Vinod Khanna, Sulakshana Pandit http://fb.me/t3qCAhx4",0,combined_hate_speech_dataset_2,0,hinglish
I hate shilpa...Ye jo dikhti hain na woo nahi hain..every time simpathi leti hain Salman Khan se..,1,combined_hate_speech_dataset_2,1,hinglish
Sir lekin jo log rajput nahin hain to unka khoon dhanda hota hai?,0,combined_hate_speech_dataset_2,0,hinglish
"Tu Jaha Mai Waha, Starring: Vinod Khanna, Sulakshana Pandit, Movie- Garam Khoon 1980 http://fb.me/2oqOYfAgJ",0,combined_hate_speech_dataset_2,0,hinglish
@TheKaranPatel  Yaar hadd ho gayi Karan Bua ki - iski subah SAAM Hina ke comments pe Hoti hai  Aur baat kaisi karta hai - Hina KO koi fark Nahi padta - aur Tu Apna khoon jalan raha hai  Aur aam janta see gaali bhi khaa Raha hai hadd hai,0,combined_hate_speech_dataset_2,0,hinglish
Jab Pappu Khan saffron terrorism bolta hai tab Hinduoo ka apman nahi hota hai?  Chee papu khan kay Pidi?,0,combined_hate_speech_dataset_2,0,hinglish
Ghatiya Gandagi Gairgujri Gulchharrey udaney walo ...Hatred Pungi,0,combined_hate_speech_dataset_2,0,hinglish
